,text,task_1,task_2
0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,NONE,NONE
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,HOF,OFFN
2,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,HOF,OFFN
3,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,HOF,OFFN
4,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,HOF,OFFN
5,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",HOF,OFFN
6,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",HOF,OFFN
7,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,HOF,OFFN
8,""" &amp; you might not get ya bitch back &amp; thats that """,HOF,OFFN
9,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",HOF,OFFN
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",HOF,OFFN
11,""" Murda Gang bitch its Gang Land """,HOF,OFFN
12,""" So hoes that smoke are losers ? "" yea ... go on IG",HOF,OFFN
13,""" bad bitches is the only thing that i like """,HOF,OFFN
14,""" bitch get up off me """,HOF,OFFN
15,""" bitch nigga miss me with it """,HOF,OFFN
16,""" bitch plz whatever """,HOF,OFFN
17,""" bitch who do you love """,HOF,OFFN
18,""" bitches get cut off everyday B """,HOF,OFFN
19,""" black bottle &amp; a bad bitch """,HOF,OFFN
20,""" broke bitch cant tell me nothing """,HOF,OFFN
21,""" cancel that bitch like Nino """,HOF,OFFN
22,""" cant you see these hoes wont change """,HOF,OFFN
23,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",HOF,OFFN
24,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",HOF,OFFN
25,""" her pussy lips like Heaven doors "" &#128524;",HOF,OFFN
26,""" hoe what its hitting for """,HOF,OFFN
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",HOF,OFFN
28,""" i need a trippy bitch who fuck on Hennessy """,HOF,OFFN
29,""" i spend my money how i want bitch its my business """,HOF,OFFN
30,""" i txt my old bitch my new bitch pussy wetter """,HOF,OFFN
31,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",HOF,OFFN
32,""" if you aint bout that Murder Game pussy nigga shut up """,HOF,OFFN
33,""" if you're toes ain't done you pussy stinks """,HOF,OFFN
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,HOF,OFFN
35,""" is that ya bitch """,HOF,OFFN
36,""" it aint nothing to cut a bitch off """,HOF,OFFN
37,""" jus meet son now he ya mane ass bitches "" #Shots",HOF,OFFN
38,""" lames crying over hoes thats tears of a clown """,HOF,OFFN
39,""" like Snoop said in 94 we dont love these hoes """,HOF,OFFN
40,""" momma said no pussy cats inside my doghouse """,NONE,NONE
41,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",HOF,OFFN
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",HOF,OFFN
43,""" pimps up pimps up hoes down "" Future voice",HOF,OFFN
44,""" post a picture of that pussy get 200 likes """,HOF,OFFN
45,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",HOF,OFFN
46,""" quick piece of pussy call it a drive by """,HOF,OFFN
47,""" running round here like some brand new pussy thats bout to get fucked """,HOF,OFFN
48,""" these bitches even worst they'll send them guys for you """,HOF,OFFN
49,""" these hoes like niggas that spend money not talk bout it """,HOF,OFFN
50,""" we dont trust these niggas all these bitches """,HOF,OFFN
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,HOF,OFFN
52,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",HOF,OFFN
53,""" young Pill Chamberlain these bitches love my music """,HOF,OFFN
54,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",HOF,OFFN
55,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",HOF,OFFN
56,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",HOF,OFFN
57,"""&amp; he's gone always be a hoe""",HOF,OFFN
58,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",HOF,OFFN
59,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",HOF,OFFN
60,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",HOF,OFFN
61,"""@A7XDemery: I'm a fucking fag they said""",HOF,OFFN
62,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",HOF,OFFN
63,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",NONE,NONE
64,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",HOF,OFFN
65,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",HOF,OFFN
66,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",NONE,NONE
67,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",NONE,NONE
68,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",HOF,OFFN
69,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",HOF,OFFN
70,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",NONE,NONE
71,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",HOF,OFFN
72,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",HOF,OFFN
73,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",HOF,OFFN
74,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",HOF,OFFN
75,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",NONE,NONE
76,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",HOF,OFFN
77,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",HOF,OFFN
78,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",HOF,OFFN
79,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",HOF,OFFN
80,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",HOF,OFFN
81,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",HOF,OFFN
82,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",HOF,OFFN
83,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",HOF,OFFN
84,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",HOF,OFFN
85,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",HOF,HATE
87,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",HOF,OFFN
88,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",HOF,OFFN
89,"""@CASHandBOOBIES: I been kidnapped yo bitch""",HOF,OFFN
90,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",HOF,HATE
91,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",HOF,OFFN
92,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",HOF,OFFN
93,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",HOF,OFFN
94,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",HOF,OFFN
95,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",HOF,OFFN
96,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",HOF,OFFN
97,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",HOF,OFFN
98,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",HOF,OFFN
99,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",HOF,OFFN
100,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",HOF,OFFN
101,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",HOF,OFFN
102,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",HOF,OFFN
103,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",HOF,OFFN
104,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",HOF,OFFN
105,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",HOF,OFFN
106,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",HOF,OFFN
107,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",HOF,OFFN
108,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",HOF,OFFN
109,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",HOF,OFFN
110,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",HOF,OFFN
111,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",HOF,HATE
112,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",HOF,OFFN
113,"""@Dietrich1892: Yall shut up:p"" make me bitch",HOF,OFFN
114,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",HOF,OFFN
115,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",HOF,OFFN
116,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",NONE,NONE
117,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",HOF,OFFN
118,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",HOF,OFFN
119,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",NONE,NONE
120,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",NONE,NONE
121,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",NONE,NONE
122,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",HOF,OFFN
123,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",NONE,NONE
124,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",HOF,OFFN
125,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",NONE,NONE
126,"""@G27Status: I could go for a fat ass bitch on my lap"" same",HOF,OFFN
127,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",HOF,OFFN
128,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",HOF,OFFN
129,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",HOF,OFFN
130,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",HOF,OFFN
131,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",HOF,OFFN
132,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",HOF,OFFN
133,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",HOF,OFFN
134,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",HOF,OFFN
135,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",HOF,OFFN
136,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",HOF,OFFN
137,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",HOF,OFFN
138,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",HOF,OFFN
139,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",HOF,OFFN
141,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",HOF,OFFN
142,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",NONE,NONE
143,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",HOF,OFFN
144,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",HOF,OFFN
145,"""@HoskinsTy96: White boy power bitch"" black power bitch",HOF,OFFN
146,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",HOF,OFFN
147,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",HOF,OFFN
148,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",HOF,OFFN
149,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",HOF,OFFN
150,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",HOF,OFFN
151,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",NONE,NONE
152,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",HOF,OFFN
153,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",HOF,OFFN
154,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",HOF,OFFN
155,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",HOF,OFFN
156,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",HOF,OFFN
157,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",HOF,OFFN
158,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",HOF,OFFN
159,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",HOF,OFFN
160,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",NONE,NONE
161,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",HOF,OFFN
162,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",HOF,OFFN
163,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",HOF,OFFN
164,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",HOF,OFFN
165,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",HOF,OFFN
166,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",NONE,NONE
167,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",HOF,OFFN
168,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",HOF,OFFN
169,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",HOF,OFFN
170,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",HOF,OFFN
171,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",HOF,OFFN
172,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",HOF,OFFN
173,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",HOF,OFFN
174,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",HOF,OFFN
175,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",HOF,OFFN
176,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",HOF,OFFN
177,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",HOF,OFFN
178,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",HOF,OFFN
179,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",HOF,OFFN
180,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",HOF,OFFN
181,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",HOF,OFFN
182,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",NONE,NONE
